,Achilles Screening Project ID,Arxspan Cell Line Registration ID,Cell Line Name,GPP Doubling Time (hrs),Cells/T175 or Cells/mL,Cas no-spin attempts,Cas spin attempts,Cas virus batch,Blasticidin Selection (ug/ml),Activity (%GFP negative),DERIV ID,Titration Attempts,Virus Pool Name,Virus Pool Batch,Puromycin Selection (ug/ml),Flasks for infection (T175),Plates for infection,Virus for infection (ml),Infection density (cells/well),Large-scale attempts,Start Date of Pooled Infection,Late Harvest Date,Target Infection Rate,Observed Infection Rate,Observed Cell Representation,Average Observed Cell Yield on Day 5,Cumulative Screen Doublings,File Name
10,ASP1921,ACH-000747,NCIH1703,43,16000000,,,,10,75,DERIV-000233,1,Paralog 160k CP1600,M-AL30-20210203,1,26,10,19.2236993235252,3000000,1,2021-08-02 00:00:00,2021-08-24 00:00:00,40,0.31198737444381974,56021883.84062319,198360000,6.636839356821442,NCIH1703_PARALOGV2_ASP1921.xlsx
11,ASP1920,ACH-000035,NCIH1650,50,10000000,,,,5,60,DERIV-000257,1,Paralog 160k CP1600,M-AL30-20210203,1,37,18,91.65215030967914,1500000,1,2021-08-05 00:00:00,2021-08-27 00:00:00,40,0.5512815202719229,89307606.28405151,339780000,5.835506435117305,NCIH1650_PARALOGV2_ASP1920.xlsx
12,ASP1817,ACH-002537-02,SNU769B,90,80000000,0,1,M-AI97-20220111,50,58,0,0,Humagne,,0,,,,0,0,Date,Date,50,,,0,,SNU769B_HUMAGNE_ASP1817.xlsx
13,ASP1818,ACH-001975,MM576,60,26000000,0,1,M-AI-20200811,10,95,0,1,Humagne,20200825,2,8,8,1.345894717556634,1500000,1,2022-03-03 00:00:00,2022-03-24 00:00:00,50,,,11140000,,MM576_HUMAGNE_ASP1818.xlsx
14,ASP1958,ACH-001994,ICC16,0,0,0,1,,,0,0,0,Humagne,,0,,,,0,0,Date,Date,50,,,0,,ICC16_HUMAGNE_ASP1958.xlsx
15,ASP1821,ACH-002058,ATN1,,,,,00:00:00,,,ATN1-enCas12a-Ach,,0,0,Humagne,T175s,0,,0,,Date,Date,50,,,0,,ATN1_HUMAGNE_ASP1821.xlsx
16,ASP1820,ACH-002170,NCIH1688,0,0,0,0,M-AI-20210126,10,0,0,0,Humagne,,0,,,,0,0,Date,Date,50,,,0,,NCIH1688_HUMAGNE_ASP1820.xlsx
17,ASP0758,ACH-000774,RERFLCAD2,80,12000000,0,1,,8,75,0,2,Humagne Set D,20200825,2,15,8,3.78,1500000,1,2021-11-01 00:00:00,2021-11-17 00:00:00,32,0.24128461538461538,13187119.44827586,13398600,1.2673643921226136,RERFLCAD2_HUMAGNE_ASP0758.xlsx
18,ASP1850,ACH-002880,WCRC25,0,25000000,,,Brian W,10,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,WCRC25_HUMAGNE_ASP1850.xlsx
19,ASP1852,ACH-002175,NCIH740,slow ~120,0,,,Brian W,50,92,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,NCIH740_HUMAGNE_ASP1852.xlsx
20,ASP1853,ACH-002542,SNU1181,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,SNU1181_HUMAGNE_ASP1853.xlsx
21,ASP1851,ACH-002496,NCIH498,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,NCIH498_HUMAGNE_ASP1851.xlsx
22,ASP1845,ACH-002525,SNU333,170,13000000,,,29,10,93,0,,CP0033,M-AN02-20210914,4,25,16,17.265114373039122,1500000,,2022-06-23 00:00:00,Date,50,0.5809717484652441,83659931.77899516,0,,SNU333_AVANA4_ASP1845.xlsx
23,ASP1822,ACH-001019,BROLI,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,BROLI_HUMAGNE_ASP1822.xlsx
24,ASP1823,ACH-002709,CMS,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,CMS_HUMAGNE_ASP1823.xlsx
25,ASP1824,ACH-002655,JVE017,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,JVE017_HUMAGNE_ASP1824.xlsx
26,ASP1825,ACH-002658,JVE114,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,JVE114_HUMAGNE_ASP1825.xlsx
27,ASP1826,ACH-002645,MHHTALL2,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,MHHTALL2_HUMAGNE_ASP1826.xlsx
28,ASP1834,ACH-002064,HTMM,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,HTMM_HUMAGNE_ASP1834.xlsx
29,ASP1856,ACH-000012,HCC827,56,18000000,,,0,10,83,0,,ParalogV2,20210921,2,23,20,10.4906772468617,1500000,,2022-01-17 00:00:00,2022-02-07 00:00:00,35,0.6971153846153846,114187500.0,173750000,4.203515308846367,HCC827_PARALOGV2_ASP1856.xlsx
30,ASP1857,ACH-000448,NCIH1666,48,50000000,,,0,2,78,0,,Paralog,20211203,1,9,16,44.5789132966065,1500000,,2022-03-14 00:00:00,2022-04-04 00:00:00,35,0.6487268518518519,46780414.0946502,135000000,,NCIH1666_PARALOGV2_ASP1857.xlsx
31,ASP1858,ACH-000261,RERFLCAI,72,48000000,,,0,10,88,0,,Paralog,M-AL30-20210921,1,10,18,4.996167261354738,1500000,,2022-01-24 00:00:00,2022-02-14 00:00:00,35,0.11303654127647568,13632206.877942966,95625000,6.46391603974468,RERFLCAI_PARALOGV2_ASP1858.xlsx
32,ASP1860,ACH-000711,JIMT1,65,25000000,,,0,10,90,0,,ParalogV2,M-AL30-20210922,2,18,10,3.6652830989198373,3000000,,2022-01-20 00:00:00,2022-02-11 00:00:00,35,0.30617414173752566,44042944.342210956,,3.6167491541021928,JIMT1_PARALOGV2_ASP1860.xlsx
33,ASP1861,ACH-000624,HCC1806,47,25000000,,,0,10,93,0,1,Paralog,M-AL30-20210921,1,18,10,8.525141702822156,3000000,1,2022-01-27 00:00:00,2022-02-17 00:00:00,45,0.45020140332640335,61673608.17250198,336600000,8.646482985251001,HCC1806_PARALOGV2_ASP1861.xlsx
34,ASP1862,ACH-001819,MFM223,0,0,,,0,0,0,0,,Paralog,,0,,,0.0,1500000,,Date,Date,50,,,0,,MFM223_PARALOGV2_ASP1862.xlsx
35,ASP1863,ACH-000910,MDAMB453,0,63000000,,,0,0,0,0,,Paralog,,0,2,,0.0,0,,Date,Date,50,,,0,,MDAMB453_PARALOGV2_ASP1863.xlsx
36,ASP1865,ACH-000246,SLR23,,10000000,,,11,10,83,0,,ParalogV2,M-AL30-20210921,2,33,16,9.584190627516293,1500000,,2022-01-24 00:00:00,2022-02-14 00:00:00,35,0.48555885262116716,41104473.55406319,140000000,4.640858721681381,SLR23_PARALOGV2_ASP1865.xlsx
37,ASP1974,ACH-000709,KMRC20,72,15000000,,,0,10,95,0,,Paralog,20210921,2,20,14,4.41,1500000,,2022-01-10 00:00:00,2022-01-31 00:00:00,35,0.33829598601001226,31765993.08634015,,3.5189529815630696,KMRC20_PARALOGV2_ASP1974.xlsx
38,ASP1867,ACH-001194,SKRC31,80,7500000,,,0,10,90,0,,Paralog,M-AL30-20210921,10,38,14,15.551804449598283,1500000,,2022-01-27 00:00:00,2022-02-17 00:00:00,35,0.25526315789473686,20931578.94736842,,1.9056569800925816,SKRC31_PARALOGV2_ASP1867.xlsx
39,ASP1833,ACH-002484,HS769T,,10000000,,,Amy L,10,,,,Humagne,M-AK47-20220125,,2,,#DIV/0!,1500000,,Date,Date,50,#DIV/0!,#DIV/0!,0,#NUM!,HS769T_HUMAGNE_ASP1833.xlsx
40,ASP1837,ACH-002928,MM100511,93,11586206.9,,,Amy,10,,,,Humagne,M-AK41-20220125,2x,12,6,19.89761402,1500000,,2022-05-26 00:00:00,2022-06-09 00:00:00,50,0.1833535762,6738243.927,62000000,#NUM!,MM100511_HUMAGNE_ASP1837.xlsx
41,ASP1849,ACH-002946,UKE1,0,0,,,Amy,10,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,UKE1_HUMAGNE_ASP1849.xlsx
42,ASP1279,ASP1279,SNU1460,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,SNU1460_HUMAGNE_ASP1279.xlsx
43,AP1855,ACH-000587,NCIH1975,58,26000000,,,0,10,0,0,,ParalogV2,M-AL30-20210921,1,,,,1500000,,2022-02-07 00:00:00,Date,30,,,0,,NCIH1975_PARALOGV2_ASP1855.xlsx
44,ASP1859,ACH-000150,HCC2935,50,16500000,,,0,0,79,0,,ParalogV2,20211203,1,19,14,26.79213807042822,1500000,,2022-02-10 00:00:00,2022-03-03 00:00:00,35,0.2283690781049936,19250548.344484318,129375000,7.546889831728487,HCC2935_PARALOGV2_ASP1859.xlsx
45,ASP1889,ACH-000352,HCC1428,58,37500000,,,0,10,77,0,,ParalogV2,20210921,2,11,8,3.7916055963850868,3000000,,2022-02-24 00:00:00,2022-03-17 00:00:00,45,0.398579808582896,49423896.264279105,94800000,3.96855051866982,HCC1428_PARALOGV2_ASP1889.xlsx
46,ASP1890,ACH-000876,MDAMB415,0,0,,,0,0,0,0,,ParalogV2,,0,,,,0,,Date,Date,35,,,0,,MDAMB415_PARALOGV2_ASP1890.xlsx
47,ASP1885,0,HKGZCC,55,15000000,,,0,10,94,0,,ParalogV2,M-AL30-20210921,1.5,28,20,24.37990451337594,1500000,,2022-02-10 00:00:00,2022-03-03 00:00:00,45,0.12000746612030871,14472900.41410923,89100000,5.68716124613866,HKGZCC_PARALOGV2_ASP1885.xlsx
48,ASP1914,ACH-000009,C2BBE1,48,22000000,,,0,2,92,0,,ParalogV2,M-AL30-20210921,4,23,12,11.34,3000000,,2022-02-28 00:00:00,2022-03-21 00:00:00,35-45,0.38225920600006125,81931502.58752203,105831000,4.558816639638577,C2BBE1_PARALOGV2_ASP1914.xlsx
49,ASP1916,ACH-000491,NCIH716,120,80000000,,,0,10,87,0,,ParalogV2,M-AL30-20210921,1,7,10,1.621855040391307,3000000,,2022-03-14 00:00:00,2022-04-05 00:00:00,45,0.3612230439633028,59168334.601188995,213900000,5.03860980729511,NCIH716_PARALOGV2_ASP1916.xlsx
50,ASP1891,ACH-001145,OC316,40,21000000,,,0,10,78,0,,ParalogV2,M-AL30-20210921,1,20,10,9.450000000000001,3000000,1,2022-02-28 00:00:00,2022-03-21 00:00:00,43,0.237145096466489,42686117.36396802,231000000,8.752521587343262,OC316_PARALOGV2_ASP1891.xlsx
51,ASP1915,ACH-000651,SW620,50,150000000,,,0,0,0,0,,ParalogV2,M-AL30-20210921,2,4,14,13.230000000000002,1500000,,2022-03-21 00:00:00,2022-04-15 00:00:00,42,0.45407712687665586,43704923.46187813,500000000,10.619971033814984,SW620_PARALOGV2_ASP1915.xlsx
52,ASP1892,ACH-001418,UWB1289,113,8000000,,,,10,76,,,ParalogV2,M-AP02-20220426,2,2,,0,1500000,,,Date,47,#DIV/0!,#DIV/0!,0,#NUM!,UWB1289_PARALOGV2_ASP1892.xlsx
53,ASP1345,ACH-002844,CCLFRCRF1012T,0,5100000,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,CCLFRCRF1012T_HUMAGNE_ASP1345.xlsx
54,ASP1888,ACH-001836,ICC108,96,15000000,,,0,10,0,0,,paralogv2,,3,28,10,18.804217819682236,3000000,,2022-04-07 00:00:00,2022-04-28 00:00:00,45,0.23095238095238096,36056851.31195335,0,,ICC108_PARALOGV2_ASP1888.xlsx
55,ASP1277,ACH-001704,VMRCMELG,60-80,,,,,#REF!,,,,Humagne,,,#DIV/0!,,#DIV/0!,,,Date,Date,50,#DIV/0!,#DIV/0!,0,#NUM!,VMRCMELG_HUMAGNE_ASP1277.xlsx
56,ASP1918,ACH-001460,C84,0,59000000,,,0,0,0,0,,ParalogV2,,0,,,,0,,Date,Date,45,,,0,,C84_PARALOGV2_ASP1918.xlsx
57,ASP1886,ACH-001673,TFK1,72,18000000,,,0,10,96,0,,ParalogV2,20210921,2,15,12,15.565599591903187,1500000,,2022-03-07 00:00:00,2022-03-28 00:00:00,45,0.46621621621621623,46575000,143750000,5.4397308616595295,TFK1_PARALOGV2_ASP1886.xlsx
58,ASP1899,ACH-000796,MCAS,55,15000000,,,,,,,,ParalogV2,M-AL30-20210921,,20,14,7.272800625,1500000,,2022-06-23 00:00:00,Date,40,#DIV/0!,#DIV/0!,0,#NUM!,MCAS_PARALOGV2_ASP1899.xlsx
59,ASP1607,ACH-002417,CCLFNEURO0015T,0,50000000,,,0,10,92,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,CCLFNEURO0015T_HUMAGNE_ASP1607.xlsx
60,ASP1371,ACH-002412,CCLFNEURO0009T,0,0,,,Dom ,10,24,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,CCLFNEURO0009T_HUMAGNE_ASP1371.xlsx
61,ASP1631,ACH-002410,CCLFNEURO0007T,,13000000,,,,10,,,,Humagne,,,2,,#DIV/0!,,,Date,Date,50,#DIV/0!,#DIV/0!,0,#NUM!,CCLFNEURO0007T_HUMAGNE_ASP1631.xlsx
62,ASP1917,ACH-002023,TGBC18TKB,50,21000000,,,0,10,89,0,,ParalogV2,20210921,1,17,16,3.5124343715911897,1500000,,2022-03-17 00:00:00,2022-04-07 00:00:00,45,0.3028920807453416,43616459.627329186,186300000,7.655840947306224,TGBC18TKB_PARALOGV2_ASP1917.xlsx
63,ASP1906,ACH-000905,5637,60,50000000,,,0,10,93,0,,ParalogV2,20210921,2,15,16,27.917585146677524,3000000,,2022-03-21 00:00:00,2022-04-11 00:00:00,35,0.19083333333333333,26716666.666666664,222500000,,5637_PARALOGV2_ASP1906.xlsx
64,ASP1908,ACH-000011,253J,30,28600000,,,0,10,82,0,,ParalogV2,M-AL30-20210921,2,16,10,9.450000000000001,3000000,,2022-03-17 00:00:00,2022-04-07 00:00:00,35,0.36458333333333337,40114436.61971832,199500000,9.488865349764191,253J_PARALOGV2_ASP1908.xlsx
65,ASP1905,ACH-000593,BC3C,72,30000000,,,,10,85,0,2,ParalogV2,M-AL30-20210921,2,14,18,9.036962734760994,1500000,,2022-03-31 00:00:00,2022-04-22 00:00:00,45,0.2020294830156816,22136591.158505477,125400000,7.522498453125666,BC3C_PARALOGV2_ASP1905.xlsx
66,ASP1904,ACH-000608,COV644,100,22000000,,,0,10,90,0,,ParalogV2,M-AL30-20210921,2,29,16,19.559652078597455,3000000,,2022-04-11 00:00:00,2022-05-02 00:00:00,45,0.33622775449553644,78879031.20465285,201300000,3.8155612230298233,COV644_PARALOGV2_ASP1904.xlsx
67,ASP1896,ACH-000906,ES2,38,50000000,,,0,1,82,0,,ParalogV2,M-AL30-20210921,1,9,8,7.56,3000000,,2022-03-10 00:00:00,2022-04-01 00:00:00,45,0.36237350256665274,37686844.266931884,42400000,8.597723848862477,ES2_PARALOGV2_ASP1896.xlsx
68,ASP1925,ACH-000934,MDAMB361,0,0,,,M-AI97-20210126,10,69,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,MDAMB361_HUMAGNE_ASP1925.xlsx
69,ASP1926,ACH-001519,HEMCSS,60,60000000,,,Megan,10,45,0,,Humagne,M-AK42-20220125,2,5,4,6.259664974276359,3000000,,2022-05-09 00:00:00,2022-05-24 00:00:00,50,0.4127061954032737,22467007.52784917,109800000,6.519276616768578,HEMCSS_HUMAGNE_ASP1926.xlsx
70,ASP1927,ACH-002010,MP41,0,0,,,Dom,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,MP41_HUMAGNE_ASP1927.xlsx
71,ASP1928,ACH-002505,UCH7,0,0,,,Dom,TBD,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,UCH7_HUMAGNE_ASP1928.xlsx
72,ASP1929,ACH-001150,OUMS27,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,OUMS27_HUMAGNE_ASP1929.xlsx
73,ASP1930,ACH-001540,KMLS1,,4700000,,,Megan,10,85,,,Humagne,,,2,,#DIV/0!,,,Date,Date,50,#DIV/0!,#DIV/0!,0,#NUM!,KMLS1_HUMAGNE_ASP1930.xlsx
74,ASP1931,ACH-001672,TERA2,85 (parental),5000000,,,Brian W,10,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,TERA2_HUMAGNE_ASP1931.xlsx
75,ASP1932,ACH-001401,SW13,84(avana screen),,,,Grace,10,,,,Humagne,,,#DIV/0!,,#DIV/0!,,,Date,Date,50,#DIV/0!,#DIV/0!,0,#NUM!,SW13_HUMAGNE_ASP1932.xlsx
76,ASP1933,ACH-001502,GCT27,80,12000000,,,Amy,10,73,0,,Humagne,,1,,,,0,,Date,Date,50,,,0,,GCT27_HUMAGNE_ASP1933.xlsx
77,ASP1934,ACH-000090,PC3,50,13300000,,,Amy,12,80,0,,Humagne,,2,,,,0,,Date,Date,50,,,0,,PC3_HUMAGNE_ASP1934.xlsx
78,ASP1278,ACH-002662,JVE207,68,40000000,1,0,0,10,87,0,1,Humagne,M-AK42-20200825,5,5.4,6,15.120000000000003,3000000,1,2022-03-03 00:00:00,2022-03-24 00:00:00,39,0.514849868847879,10502937.324496731,31440000,,JVE207_HUMAGNE_ASP1278.xlsx
79,ASP1912,ACH-001960,CCSW1,31,36000000,,,0,0,92,0,,ParalogV2,M-AL30-20210921,1,13,10,9.450000000000001,3000000,,2022-04-04 00:00:00,2022-04-25 00:00:00,40,0.42785947712418304,47021756.53594772,244150000,9.352874283882135,CCSW1_PARALOGV2_ASP1912.xlsx
80,ASP1868,ACH-003057,CAHPV10,0,0,,,Grace,10,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,CAHPV10_HUMAGNE_ASP1868.xlsx
81,ASP1962,ACH-001046,CORL26,~150 (parental),40000000,,,Brian W,10,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,CORL26_HUMAGNE_ASP1962.xlsx
82,ASP1910,ACH-001841,ICC15,72,30000000,,,0,10,0,0,,ParalogV2,M-AL30-20210921,2,14,18,4.402027237423602,1500000,,2022-04-21 00:00:00,2022-05-12 00:00:00,45,0.22546439628482973,22145824.99592635,106200000,7.076798083116236,ICC15_PARALOGV2_ASP1910.xlsx
83,ASP1913,ACH-001835,ICC106,60,16000000,,,0,10,0,0,,ParalogV2,M-AL30-20210921,4,21,16,5.040000000000001,1500000,,2022-03-31 00:00:00,Date,35,0.3333333333333333,46666666.666666664,163150000,,ICC106_PARALOGV2_ASP1913.xlsx
84,ASP1870,ACH-003019-01,LASCPC01,0,1200000,,,Dom,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,LASCPC01_HUMAGNE_ASP1870.xlsx
85,ASP1959,ACH-000530,DMS114,,,,,Grace,10,50,,,Humagne,M-AK47-20220125,2,#DIV/0!,,#DIV/0!,1500000,,Date,Date,50,#DIV/0!,#DIV/0!,0,#NUM!,DMS114_HUMAGNE_ASP1959.xlsx
86,ASP1960,ACH-000586,NCIH1876,0,0,,,Grace,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,NCIH1876_HUMAGNE_ASP1960.xlsx
87,ASP1961,ACH-000749,DMS273,120,40000000,,,Grace,10,91,0,,Humagne,M-AK42-20220125,2,5,6,3.412275220570883,1500000,,Date,Date,50,,,0,,DMS273_HUMAGNE_ASP1961.xlsx
88,ASP1911,ACH-001961,GB2,77,10600000,,,0,10,0.965,0,,ParalogV2,CP1600,2,31,16,40.94626295573026,1500000,,2022-04-25 00:00:00,2022-05-16 00:00:00,35,0.27943523794587616,39400368.55036854,213125000,7.524447869560401,GB2_PARALOGV2_ASP1911.xlsx
89,ASP1946,ACH-001163,CCLFPEDS0001T,50,10000000,,,0,10,0.9,0,,ParalogV2,M-AL30-20210921,3,33,16,40.32000000000001,1500000,,2022-03-31 00:00:00,2022-04-22 00:00:00,39,0.37857142857142856,38160000,96519800,7.5131832471450775,CCLFPEDS0001T_PARALOGV2_ASP1946.xlsx
90,ASP1907,ACH-001412,UMUC10,60,30000000,,,0,0,87,0,,ParalogV2,M-AL30-20210921,1,11,14,4.41,1500000,,2022-04-04 00:00:00,2022-04-25 00:00:00,45,0.5298597678916829,60933873.30754353,198000000,5.982991550799335,UMUC10_PARALOGV2_ASP1907.xlsx
91,ASP1909,ACH-000522,UMUC3,60,25000000,,,0,10,0,0,,ParalogV2,M-AL30-20210921,2,14,16,10.742915206682646,1500000,,2022-04-07 00:00:00,2022-04-29 00:00:00,45,0.25413400130024094,36595296.18723469,212700000,9.71946289712359,UMUC3_PARALOGV2_ASP1909.xlsx
92,ASP1884,ACH-001848,ICC8,82,7000000,,,0,0,83,0,,ParalogV2,M-AP02-20220426,6,46,16,40.32000000000001,1500000,,Date,Date,35,,,0,,ICC8_PARALOGV2_ASP1884.xlsx
93,ASP1887,ACH-001849,ICC9,65,25000000,,,0,10,77,0,,ParalogV2,M-AL30-20210921,2,27,16,28.224000000000004,3000000,,2022-04-11 00:00:00,2022-05-02 00:00:00,40,0.5164286619757861,42939010.50833843,196430000,6.152839478866154,ICC9_PARALOGV2_ASP1887.xlsx
94,ASP1940,ACH-000896,647V,57,68000000,,,0,0,82,0,,ParalogV2,M-AL30-20210921,2,8,18,127.5966983028274,1500000,,2022-04-11 00:00:00,2022-05-02 00:00:00,30,0.2237179487179487,30201923.076923076,205600000,9.407221010388776,647V_PARALOGV2_ASP1940.xlsx
95,ASP1943,ACH-000552,HT29,25,50000000,,,0,10,0,0,,ParalogV2,CP1600,2,9,16,100.80000000000001,1500000,,2022-04-21 00:00:00,2022-05-12 00:00:00,35,0.8352115583075335,32272574.613003094,225000000,,HT29_PARALOGV2_ASP1943.xlsx
96,ASP1829,ACH-002939,CCLFPEDS1041T,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,CCLFPEDS1041T_HUMAGNE_ASP1829.xlsx
97,ASP1830,ACH-002938,CCLFPEDS1046T,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,CCLFPEDS1046T_HUMAGNE_ASP1830.xlsx
98,ASP1955,ACH-002994-01,WSUAML,0,0,,,Grace,10,50,0,,Humagne,,2,,,,0,,Date,Date,50,,,0,,WSUAML_HUMAGNE_ASP1955.xlsx
99,ASP1843,ACH-001383-02,PWR1E,0,0,,,Grace,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,PWR1E_HUMAGNE_ASP1843.xlsx
100,ASP1873,DMEM + 10% FBS,SALMAT,0,6800000,,,Megan,10,98,0,,Humagne,M-AK42-20220125,2,30,10,31.5,1500000,,Date,Date,20,,,0,,SALMAT_HUMAGNE_ASP1873.xlsx
101,ASP1872,DMEM + 10% FBS,SNF022,136,15000000,,,Brian W,10,60,,,Humagne,,,2,,#DIV/0!,,,Date,Date,50,#DIV/0!,#DIV/0!,0,#NUM!,SNF022_HUMAGNE_ASP1872.xlsx
102,ASP1840,"DMEM:F12 + 0.00625 mg/ml insulin; 0.00625 mg/ml transferrin; 6.25 ng/ml selenium; 1.25 mg/ml bovine serum albumin; 0.00535 mg/ml linoleic acid; adjust to a final concentration of 2.5% Nu-Serum I. The additives (insulin, transferrin, selenium, BSA and linoleic acid) are available in the form of ITS+ Premix from Corning (Catalog No. 354352). Nu-Serum is also available from Corning (Catalog No. 355100).",NCIH295R,0,0,,,Grace,10,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,NCIH295R_HUMAGNE_ASP1840.xlsx
103,ASP1835,ACH-002495,IOWA1T,0,170000000,,,Megan,10,88,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,IOWA1T_HUMAGNE_ASP1835.xlsx
104,ASP1875,ACH-003064-01,TE130T,0,11000000,,,0,50,82,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,TE130T_HUMAGNE_ASP1875.xlsx
105,ASP1871,ACH-003061-01,NCIH774,0,0,,,0,,0,0,,Humagne,,0,,,,0,,Date,Date,50,,,0,,NCIH774_HUMAGNE_ASP1871.xlsx
106,ASP1935,ACH-001687,UMRC3,72,20000000,,,0,10,87,0,,ParalogV2,M-AL30-20210921,2,20,18,17.01,1500000,,00:00:00,Date,39,,,0,,UMRC3_PARALOGV2_ASP1935.xlsx
